,image_index,iou,segment_index,segment_type,segment_size
0,0,0.8778625954198473,1,false_positives,1
1,0,0.8778625954198473,2,false_positives,5
2,0,0.8778625954198473,3,false_positives,1
3,0,0.8778625954198473,4,false_positives,9
0,0,0.8778625954198473,1,false_negatives,6
1,0,0.8778625954198473,2,false_negatives,1
2,0,0.8778625954198473,3,false_negatives,1
3,0,0.8778625954198473,4,false_negatives,3
4,0,0.8778625954198473,5,false_negatives,1
5,0,0.8778625954198473,6,false_negatives,4
0,0,0.8778625954198473,1,true_positives,230
0,1,0.9541267834567455,1,false_positives,23
1,1,0.9541267834567455,2,false_positives,1
2,1,0.9541267834567455,3,false_positives,2
3,1,0.9541267834567455,4,false_positives,1
4,1,0.9541267834567455,5,false_positives,2
5,1,0.9541267834567455,6,false_positives,66
6,1,0.9541267834567455,7,false_positives,1
7,1,0.9541267834567455,8,false_positives,4
8,1,0.9541267834567455,9,false_positives,6
9,1,0.9541267834567455,10,false_positives,2
10,1,0.9541267834567455,11,false_positives,1
11,1,0.9541267834567455,12,false_positives,1
12,1,0.9541267834567455,13,false_positives,1
13,1,0.9541267834567455,14,false_positives,2
14,1,0.9541267834567455,15,false_positives,4
15,1,0.9541267834567455,16,false_positives,3
16,1,0.9541267834567455,17,false_positives,2
17,1,0.9541267834567455,18,false_positives,1
18,1,0.9541267834567455,19,false_positives,3
19,1,0.9541267834567455,20,false_positives,5
0,1,0.9541267834567455,1,false_negatives,4
1,1,0.9541267834567455,2,false_negatives,2
2,1,0.9541267834567455,3,false_negatives,1
3,1,0.9541267834567455,4,false_negatives,2
4,1,0.9541267834567455,5,false_negatives,18
5,1,0.9541267834567455,6,false_negatives,2
6,1,0.9541267834567455,7,false_negatives,35
7,1,0.9541267834567455,8,false_negatives,1
8,1,0.9541267834567455,9,false_negatives,3
9,1,0.9541267834567455,10,false_negatives,11
10,1,0.9541267834567455,11,false_negatives,1
11,1,0.9541267834567455,12,false_negatives,43
0,1,0.9541267834567455,1,true_positives,5283
0,2,0.7464285714285714,1,false_positives,1
1,2,0.7464285714285714,2,false_positives,1
2,2,0.7464285714285714,3,false_positives,2
3,2,0.7464285714285714,4,false_positives,451
4,2,0.7464285714285714,5,false_positives,1
5,2,0.7464285714285714,6,false_positives,1
0,2,0.7464285714285714,1,false_negatives,536
1,2,0.7464285714285714,2,false_negatives,1
2,2,0.7464285714285714,3,false_negatives,1
3,2,0.7464285714285714,4,false_negatives,4
4,2,0.7464285714285714,5,false_negatives,1
5,2,0.7464285714285714,6,false_negatives,1
6,2,0.7464285714285714,7,false_negatives,3
7,2,0.7464285714285714,8,false_negatives,1
8,2,0.7464285714285714,9,false_negatives,202
0,2,0.7464285714285714,1,true_positives,693
1,2,0.7464285714285714,2,true_positives,12
2,2,0.7464285714285714,3,true_positives,4
3,2,0.7464285714285714,4,true_positives,1
4,2,0.7464285714285714,5,true_positives,2838
5,2,0.7464285714285714,6,true_positives,1
6,2,0.7464285714285714,7,true_positives,1
7,2,0.7464285714285714,8,true_positives,2
8,2,0.7464285714285714,9,true_positives,1
0,3,0.90625,1,false_positives,13
1,3,0.90625,2,false_positives,1
2,3,0.90625,3,false_positives,1
3,3,0.90625,4,false_positives,1
4,3,0.90625,5,false_positives,2
5,3,0.90625,6,false_positives,13
6,3,0.90625,7,false_positives,1
7,3,0.90625,8,false_positives,3
8,3,0.90625,9,false_positives,1
9,3,0.90625,10,false_positives,2
10,3,0.90625,11,false_positives,18
0,3,0.90625,1,false_negatives,1
1,3,0.90625,2,false_negatives,32
2,3,0.90625,3,false_negatives,2
3,3,0.90625,4,false_negatives,3
4,3,0.90625,5,false_negatives,2
5,3,0.90625,6,false_negatives,1
6,3,0.90625,7,false_negatives,5
0,3,0.90625,1,true_positives,986
0,4,0.9375571123971976,1,false_positives,1
1,4,0.9375571123971976,2,false_positives,3
2,4,0.9375571123971976,3,false_positives,7
3,4,0.9375571123971976,4,false_positives,4
4,4,0.9375571123971976,5,false_positives,1
5,4,0.9375571123971976,6,false_positives,4
6,4,0.9375571123971976,7,false_positives,21
7,4,0.9375571123971976,8,false_positives,8
8,4,0.9375571123971976,9,false_positives,2
9,4,0.9375571123971976,10,false_positives,2
10,4,0.9375571123971976,11,false_positives,1
11,4,0.9375571123971976,12,false_positives,2
12,4,0.9375571123971976,13,false_positives,1
13,4,0.9375571123971976,14,false_positives,2
14,4,0.9375571123971976,15,false_positives,2
15,4,0.9375571123971976,16,false_positives,1
16,4,0.9375571123971976,17,false_positives,22
0,4,0.9375571123971976,1,false_negatives,7
1,4,0.9375571123971976,2,false_negatives,2
2,4,0.9375571123971976,3,false_negatives,1
3,4,0.9375571123971976,4,false_negatives,1
4,4,0.9375571123971976,5,false_negatives,37
5,4,0.9375571123971976,6,false_negatives,25
6,4,0.9375571123971976,7,false_negatives,1
7,4,0.9375571123971976,8,false_negatives,1
8,4,0.9375571123971976,9,false_negatives,7
9,4,0.9375571123971976,10,false_negatives,5
10,4,0.9375571123971976,11,false_negatives,9
11,4,0.9375571123971976,12,false_negatives,10
12,4,0.9375571123971976,13,false_negatives,13
13,4,0.9375571123971976,14,false_negatives,1
14,4,0.9375571123971976,15,false_negatives,1
0,4,0.9375571123971976,1,true_positives,3078
0,5,0.9582429501084598,1,false_positives,17
1,5,0.9582429501084598,2,false_positives,9
2,5,0.9582429501084598,3,false_positives,1
3,5,0.9582429501084598,4,false_positives,1
4,5,0.9582429501084598,5,false_positives,1
5,5,0.9582429501084598,6,false_positives,1
6,5,0.9582429501084598,7,false_positives,1
7,5,0.9582429501084598,8,false_positives,1
8,5,0.9582429501084598,9,false_positives,1
9,5,0.9582429501084598,10,false_positives,5
10,5,0.9582429501084598,11,false_positives,8
11,5,0.9582429501084598,12,false_positives,3
12,5,0.9582429501084598,13,false_positives,1
13,5,0.9582429501084598,14,false_positives,1
14,5,0.9582429501084598,15,false_positives,1
15,5,0.9582429501084598,16,false_positives,1
16,5,0.9582429501084598,17,false_positives,63
17,5,0.9582429501084598,18,false_positives,1
18,5,0.9582429501084598,19,false_positives,1
19,5,0.9582429501084598,20,false_positives,1
0,5,0.9582429501084598,1,false_negatives,3
1,5,0.9582429501084598,2,false_negatives,6
2,5,0.9582429501084598,3,false_negatives,2
3,5,0.9582429501084598,4,false_negatives,1
4,5,0.9582429501084598,5,false_negatives,1
5,5,0.9582429501084598,6,false_negatives,2
6,5,0.9582429501084598,7,false_negatives,1
7,5,0.9582429501084598,8,false_negatives,3
8,5,0.9582429501084598,9,false_negatives,5
9,5,0.9582429501084598,10,false_negatives,10
10,5,0.9582429501084598,11,false_negatives,3
11,5,0.9582429501084598,12,false_negatives,8
12,5,0.9582429501084598,13,false_negatives,5
13,5,0.9582429501084598,14,false_negatives,68
14,5,0.9582429501084598,15,false_negatives,1
15,5,0.9582429501084598,16,false_negatives,4
16,5,0.9582429501084598,17,false_negatives,1
17,5,0.9582429501084598,18,false_negatives,1
18,5,0.9582429501084598,19,false_negatives,51
19,5,0.9582429501084598,20,false_negatives,9
20,5,0.9582429501084598,21,false_negatives,1
21,5,0.9582429501084598,22,false_negatives,3
0,5,0.9582429501084598,1,true_positives,7068
0,6,0.8933333333333333,1,false_positives,7
1,6,0.8933333333333333,2,false_positives,8
2,6,0.8933333333333333,3,false_positives,1
3,6,0.8933333333333333,4,false_positives,21
0,6,0.8933333333333333,1,false_negatives,2
1,6,0.8933333333333333,2,false_negatives,10
2,6,0.8933333333333333,3,false_negatives,14
3,6,0.8933333333333333,4,false_negatives,1
0,6,0.8933333333333333,1,true_positives,536
0,7,0.9090909090909091,1,false_positives,2
1,7,0.9090909090909091,2,false_positives,30
2,7,0.9090909090909091,3,false_positives,1
3,7,0.9090909090909091,4,false_positives,9
4,7,0.9090909090909091,5,false_positives,2
5,7,0.9090909090909091,6,false_positives,7
6,7,0.9090909090909091,7,false_positives,1
7,7,0.9090909090909091,8,false_positives,1
0,7,0.9090909090909091,1,false_negatives,14
1,7,0.9090909090909091,2,false_negatives,13
2,7,0.9090909090909091,3,false_negatives,1
3,7,0.9090909090909091,4,false_negatives,1
4,7,0.9090909090909091,5,false_negatives,1
5,7,0.9090909090909091,6,false_negatives,1
6,7,0.9090909090909091,7,false_negatives,1
7,7,0.9090909090909091,8,false_negatives,16
8,7,0.9090909090909091,9,false_negatives,5
9,7,0.9090909090909091,10,false_negatives,2
0,7,0.9090909090909091,1,true_positives,1080
0,8,0.9060693641618497,1,false_positives,39
1,8,0.9060693641618497,2,false_positives,6
2,8,0.9060693641618497,3,false_positives,1
3,8,0.9060693641618497,4,false_positives,2
4,8,0.9060693641618497,5,false_positives,4
5,8,0.9060693641618497,6,false_positives,1
6,8,0.9060693641618497,7,false_positives,1
7,8,0.9060693641618497,8,false_positives,8
8,8,0.9060693641618497,9,false_positives,1
9,8,0.9060693641618497,10,false_positives,1
0,8,0.9060693641618497,1,false_negatives,1
1,8,0.9060693641618497,2,false_negatives,3
2,8,0.9060693641618497,3,false_negatives,6
3,8,0.9060693641618497,4,false_negatives,3
4,8,0.9060693641618497,5,false_negatives,1
5,8,0.9060693641618497,6,false_negatives,1
6,8,0.9060693641618497,7,false_negatives,1
7,8,0.9060693641618497,8,false_negatives,2
8,8,0.9060693641618497,9,false_negatives,1
9,8,0.9060693641618497,10,false_negatives,1
10,8,0.9060693641618497,11,false_negatives,31
11,8,0.9060693641618497,12,false_negatives,15
0,8,0.9060693641618497,1,true_positives,1254
0,9,0.9013296011196641,1,false_positives,1
1,9,0.9013296011196641,2,false_positives,13
2,9,0.9013296011196641,3,false_positives,2
3,9,0.9013296011196641,4,false_positives,5
4,9,0.9013296011196641,5,false_positives,1
5,9,0.9013296011196641,6,false_positives,3
6,9,0.9013296011196641,7,false_positives,1
7,9,0.9013296011196641,8,false_positives,1
8,9,0.9013296011196641,9,false_positives,1
9,9,0.9013296011196641,10,false_positives,6
10,9,0.9013296011196641,11,false_positives,4
0,9,0.9013296011196641,1,false_negatives,1
1,9,0.9013296011196641,2,false_negatives,1
2,9,0.9013296011196641,3,false_negatives,1
3,9,0.9013296011196641,4,false_negatives,1
4,9,0.9013296011196641,5,false_negatives,1
5,9,0.9013296011196641,6,false_negatives,1
6,9,0.9013296011196641,7,false_negatives,88
7,9,0.9013296011196641,8,false_negatives,1
8,9,0.9013296011196641,9,false_negatives,1
9,9,0.9013296011196641,10,false_negatives,1
10,9,0.9013296011196641,11,false_negatives,1
11,9,0.9013296011196641,12,false_negatives,1
12,9,0.9013296011196641,13,false_negatives,4
0,9,0.9013296011196641,1,true_positives,1288
0,10,0.7968892955169259,1,false_positives,2
1,10,0.7968892955169259,2,false_positives,1
2,10,0.7968892955169259,3,false_positives,38
3,10,0.7968892955169259,4,false_positives,2
4,10,0.7968892955169259,5,false_positives,1
5,10,0.7968892955169259,6,false_positives,12
6,10,0.7968892955169259,7,false_positives,1
7,10,0.7968892955169259,8,false_positives,16
8,10,0.7968892955169259,9,false_positives,12
9,10,0.7968892955169259,10,false_positives,1
10,10,0.7968892955169259,11,false_positives,32
11,10,0.7968892955169259,12,false_positives,2
12,10,0.7968892955169259,13,false_positives,1
13,10,0.7968892955169259,14,false_positives,3
14,10,0.7968892955169259,15,false_positives,1
15,10,0.7968892955169259,16,false_positives,3
16,10,0.7968892955169259,17,false_positives,22
17,10,0.7968892955169259,18,false_positives,9
18,10,0.7968892955169259,19,false_positives,2
0,10,0.7968892955169259,1,false_negatives,138
1,10,0.7968892955169259,2,false_negatives,1
2,10,0.7968892955169259,3,false_negatives,9
3,10,0.7968892955169259,4,false_negatives,4
4,10,0.7968892955169259,5,false_negatives,1
5,10,0.7968892955169259,6,false_negatives,4
6,10,0.7968892955169259,7,false_negatives,5
7,10,0.7968892955169259,8,false_negatives,3
8,10,0.7968892955169259,9,false_negatives,2
9,10,0.7968892955169259,10,false_negatives,1
10,10,0.7968892955169259,11,false_negatives,1
11,10,0.7968892955169259,12,false_negatives,2
12,10,0.7968892955169259,13,false_negatives,11
13,10,0.7968892955169259,14,false_negatives,5
14,10,0.7968892955169259,15,false_negatives,10
15,10,0.7968892955169259,16,false_negatives,3
16,10,0.7968892955169259,17,false_negatives,1
17,10,0.7968892955169259,18,false_negatives,2
18,10,0.7968892955169259,19,false_negatives,25
19,10,0.7968892955169259,20,false_negatives,1
20,10,0.7968892955169259,21,false_negatives,1
21,10,0.7968892955169259,22,false_negatives,2
22,10,0.7968892955169259,23,false_negatives,1
23,10,0.7968892955169259,24,false_negatives,7
24,10,0.7968892955169259,25,false_negatives,2
25,10,0.7968892955169259,26,false_negatives,4
26,10,0.7968892955169259,27,false_negatives,1
27,10,0.7968892955169259,28,false_negatives,3
28,10,0.7968892955169259,29,false_negatives,33
0,10,0.7968892955169259,1,true_positives,1741
